"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"TC_01_01","Redirects To Ishine Login page","true","true","PASS","2024-02-04","14_32_38","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\STATIC_RESULT\2024\February\04\Screenshot\14_32_38_SC_04.png"")","chrome","192.168.4.111","BISWAJIT2000","Asia/Calcutta"
"TC_01_02","User should be able to login after entering credentials.","true","true","PASS","2024-02-04","14_32_41","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\STATIC_RESULT\2024\February\04\Screenshot\14_32_41_SC_09.png"")","chrome","192.168.4.111","BISWAJIT2000","Asia/Calcutta"
"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"TC_01_01","Redirects To Ishine Login page","true","true","PASS","2024-02-04","14_35_41","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\STATIC_RESULT\2024\February\04\Screenshot\14_35_41_SC_04.png"")","chrome","192.168.4.111","BISWAJIT2000","Asia/Calcutta"
"TC_01_02","User should be able to login after entering credentials.","true","true","PASS","2024-02-04","14_35_43","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\STATIC_RESULT\2024\February\04\Screenshot\14_35_43_SC_09.png"")","chrome","192.168.4.111","BISWAJIT2000","Asia/Calcutta"
