"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"TC_01_01","Redirects To Ishine Login page","true","true","PASS","2024-01-10","00_03_01","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\10\Screenshot\00_03_01_SC_04.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_02","User should be able to login after entering credentials.","true","true","PASS","2024-01-10","00_03_04","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\10\Screenshot\00_03_04_SC_09.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"TC_01_01","Redirects To Ishine Login page","true","true","PASS","2024-01-10","00_03_55","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\10\Screenshot\00_03_55_SC_04.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_02","User should be able to login after entering credentials.","true","true","PASS","2024-01-10","00_03_58","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\10\Screenshot\00_03_58_SC_09.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"TC_01_01","Redirects To Ishine Login page","true","true","PASS","2024-01-10","00_07_11","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\10\Screenshot\00_07_11_SC_04.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_02","User should be able to login after entering credentials.","true","true","PASS","2024-01-10","00_07_14","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\10\Screenshot\00_07_14_SC_09.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"TC_01_01","Redirects To Ishine Login page","true","true","PASS","2024-01-10","00_08_26","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\10\Screenshot\00_08_26_SC_04.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_02","User should be able to login after entering credentials.","true","true","PASS","2024-01-10","00_08_29","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\10\Screenshot\00_08_29_SC_09.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_03","Redirects To Apmosys Mail Login page","true","false","FAIL","2024-01-10","00_09_00","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\10\Screenshot\00_09_00_SC_16.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_04","User should be able to Go To mailBody And get The OTP","true","false","FAIL","2024-01-10","00_09_42","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\10\Screenshot\00_09_42_SC_29.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_05","User should be able to login after entering OTP","true","true","PASS","2024-01-10","00_09_56","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\10\Screenshot\00_09_56_SC_37.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
