"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"TC_01_01","Redirects To Ishine Login page","true","true","PASS","2024-01-26","20_22_43","=HYPERLINK("".\DYNAMIC_RESULT\Screenshot\20_22_43_SC_04.png"")","chrome","192.168.4.109","BISWAJIT2000","Asia/Calcutta"
"TC_01_02","User should be able to login after entering credentials.","true","true","PASS","2024-01-26","20_22_46","=HYPERLINK("".\DYNAMIC_RESULT\Screenshot\20_22_46_SC_09.png"")","chrome","192.168.4.109","BISWAJIT2000","Asia/Calcutta"
