"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"TC_01_01","Redirects To Ishine Login page","true","true","PASS","2024-03-09","22_14_18","=HYPERLINK("".\DYNAMIC_RESULT\SCREENSHOTs\SC_01_IshinePortal_TC_01_01_IshineLoginPage_22_14_18.png"")","chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_02","User should be able to login after entering credentials.","true","true","PASS","2024-03-09","22_14_20","=HYPERLINK("".\DYNAMIC_RESULT\SCREENSHOTs\SC_01_IshinePortal_TC_01_02_IshineLoginPage_22_14_20.png"")","chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
