"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"TC_01_01","Redirects To Ishine Login page","true","true","PASS","2024-01-21","19_57_25","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\21\Screenshot\19_57_25_SC_04.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_02","User should be able to login after entering credentials.","true","true","PASS","2024-01-21","19_58_08","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\21\Screenshot\19_58_08_SC_09.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"TC_01_01","Redirects To Ishine Login page","true","true","PASS","2024-01-21","19_58_52","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\21\Screenshot\19_58_52_SC_04.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"TC_01_01","Redirects To Ishine Login page","true","true","PASS","2024-01-21","19_59_49","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\21\Screenshot\19_59_49_SC_04.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_02","User should be able to login after entering credentials.","true","true","PASS","2024-01-21","20_00_31","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\21\Screenshot\20_00_31_SC_09.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_03","Redirects To Apmosys Mail Login page","true","false","FAIL","2024-01-21","20_01_22","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\21\Screenshot\20_01_22_SC_16.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_04","User should be able to Go To mailBody And get The OTP","true","false","FAIL","2024-01-21","20_02_29","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\21\Screenshot\20_02_29_SC_29.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_05","User should be able to login after entering OTP","true","true","PASS","2024-01-21","20_03_22","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\21\Screenshot\20_03_22_SC_37.png"")","Chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"TC_01_01","Redirects To Ishine Login page","true","true","PASS","2024-01-21","23_08_11","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\21\Screenshot\23_08_11_SC_04.png"")","Chrome","192.168.4.111","BISWAJIT2000","Asia/Calcutta"
"TC_01_02","User should be able to login after entering credentials.","true","true","PASS","2024-01-21","23_08_14","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\21\Screenshot\23_08_14_SC_09.png"")","Chrome","192.168.4.111","BISWAJIT2000","Asia/Calcutta"
"TC_01_03","Redirects To Apmosys Mail Login page","true","false","FAIL","2024-01-21","23_09_06","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\21\Screenshot\23_09_06_SC_16.png"")","Chrome","192.168.4.111","BISWAJIT2000","Asia/Calcutta"
"TC_01_04","User should be able to Go To mailBody And get The OTP","true","false","FAIL","2024-01-21","23_10_14","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\RESULT\2024\January\21\Screenshot\23_10_14_SC_29.png"")","Chrome","192.168.4.111","BISWAJIT2000","Asia/Calcutta"
