"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"TC_01_01","Redirects To Ishine Login page","true","true","PASS","2024-01-31","23_11_59","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\STATIC_RESULT\2024\January\31\Screenshot\23_11_59_SC_04.png"")","chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_02","User should be able to login after entering credentials.","true","true","PASS","2024-01-31","23_12_01","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\STATIC_RESULT\2024\January\31\Screenshot\23_12_01_SC_09.png"")","chrome","192.168.137.1","BISWAJIT2000","Asia/Calcutta"
"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"TC_01_01","Redirects To Ishine Login page","true","true","PASS","2024-01-31","23_29_17","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\STATIC_RESULT\2024\January\31\Screenshot\23_29_17_SC_04.png"")","chrome","192.168.4.111","BISWAJIT2000","Asia/Calcutta"
"TC_01_02","User should be able to login after entering credentials.","true","true","PASS","2024-01-31","23_29_20","=HYPERLINK(""C:\Users\biswa\eclipse-workspace\BiswajitFramework\STATIC_RESULT\2024\January\31\Screenshot\23_29_20_SC_09.png"")","chrome","192.168.4.111","BISWAJIT2000","Asia/Calcutta"
