"Test_Case","Description","ExpectedResult","ActualResult","Status","Date","Time","Screenshot_File_Location","BrowserType","IP","HOST","ZONE"
"TC_01_01","Redirects To Ishine Login page","true","false","FAIL","2023-08-22","11_44_21","=HYPERLINK(""null"")","Chrome","172.18.32.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_02","User should be able to login after entering credentials.","true","false","FAIL","2023-08-22","11_44_21","=HYPERLINK(""null"")","Chrome","172.18.32.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_03","Redirects To Apmosys Mail Login page","true","false","FAIL","2023-08-22","11_44_21","=HYPERLINK(""null"")","Chrome","172.18.32.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_04","User should be able to Go To mailBody And get The OTP","true","false","FAIL","2023-08-22","11_44_21","=HYPERLINK(""null"")","Chrome","172.18.32.1","BISWAJIT2000","Asia/Calcutta"
"TC_01_05","User should be able to login after entering OTP","true","false","FAIL","2023-08-22","11_44_21","=HYPERLINK(""null"")","Chrome","172.18.32.1","BISWAJIT2000","Asia/Calcutta"
